Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Potato,2007,Kharif,Rajasthan,179513.48,6457099.88,1294.9,170.16,0.25,35.97
Onion,2007,Rabi,Rajasthan,43244.59,966084.14,497.58,182.35,0.55,22.34
Onion,2007,Whole Year,Rajasthan,395031.98,13253322.93,1863.67,231.14,4.0,33.55
Tomato,2007,Kharif,Rajasthan,312175.16,9209167.22,706.47,87.06,1.11,29.5
Tomato,2007,Rabi,Rajasthan,390252.46,18287230.28,2114.81,115.02,2.38,46.86
Banana,2007,Rabi,Rajasthan,58837.44,4113325.43,1402.27,228.74,1.98,69.91
Banana,2007,Summer,Rajasthan,418736.65,25660181.91,1906.47,239.05,0.3,61.28
Rice,2007,Whole Year,Tamil Nadu,219995.18,1326570.94,1007.89,145.35,3.42,6.03
Rice,2007,Kharif,Tamil Nadu,324661.09,2795331.98,1584.02,231.41,4.2,8.61
Wheat,2007,Whole Year,Tamil Nadu,263626.25,1921835.36,1385.71,164.5,1.32,7.29
Wheat,2007,Rabi,Tamil Nadu,378279.02,2621473.61,1662.33,195.7,1.71,6.93
Maize,2007,Whole Year,Tamil Nadu,131940.58,872127.23,1974.82,192.07,2.0,6.61
Maize,2007,Summer,Tamil Nadu,423846.52,2454071.35,1486.74,52.11,2.66,5.79
Cotton(lint),2007,Rabi,Tamil Nadu,115226.98,578439.44,1616.16,143.94,1.2,5.02
Cotton(lint),2007,Summer,Tamil Nadu,13342.63,57773.59,1535.53,103.41,1.46,4.33
Sugarcane,2007,Whole Year,Tamil Nadu,374591.48,42010434.48,894.64,183.96,0.6,112.15
Sugarcane,2007,Rabi,Tamil Nadu,318170.0,35135513.1,936.47,116.54,1.16,110.43
Soybean,2007,Rabi,Tamil Nadu,412531.07,1955397.27,1669.89,171.07,1.9,4.74
Soybean,2007,Summer,Tamil Nadu,188143.0,769504.87,1715.22,139.59,0.52,4.09
Groundnut,2007,Whole Year,Tamil Nadu,22003.55,126740.45,1930.31,239.49,4.01,5.76
Groundnut,2007,Summer,Tamil Nadu,104475.72,556855.59,1722.73,93.96,0.96,5.33
Rapeseed &Mustard,2007,Whole Year,Tamil Nadu,406863.73,1163630.27,976.33,170.75,1.01,2.86
Rapeseed &Mustard,2007,Summer,Tamil Nadu,95438.11,284405.57,963.73,67.56,4.08,2.98
Gram,2007,Summer,Tamil Nadu,18065.87,45164.67,1549.38,40.63,4.18,2.5
Gram,2007,Kharif,Tamil Nadu,328417.86,935990.9,1025.12,173.02,1.8,2.85
Arhar/Tur,2007,Summer,Tamil Nadu,405579.34,1082896.84,1751.2,132.61,2.79,2.67
Arhar/Tur,2007,Rabi,Tamil Nadu,147316.55,331462.24,1521.97,41.83,0.3,2.25
Moong(Green Gram),2007,Summer,Tamil Nadu,21294.73,33219.78,1040.39,74.71,3.45,1.56
Moong(Green Gram),2007,Rabi,Tamil Nadu,217843.17,518466.74,1633.79,193.59,0.29,2.38
Potato,2007,Whole Year,Tamil Nadu,365636.64,15093480.5,1754.34,188.2,3.28,41.28
Potato,2007,Kharif,Tamil Nadu,289204.03,11680950.77,469.05,160.51,3.54,40.39
Onion,2007,Summer,Tamil Nadu,302214.09,9773603.67,456.6,182.56,3.79,32.34
Onion,2007,Whole Year,Tamil Nadu,78987.61,2500747.73,980.07,234.6,4.44,31.66
Tomato,2007,Kharif,Tamil Nadu,337317.25,14383207.54,2136.44,45.45,0.43,42.64
Tomato,2007,Summer,Tamil Nadu,276898.91,10987348.75,1268.36,49.67,3.5,39.68
Banana,2007,Rabi,Tamil Nadu,279558.05,19085428.07,1694.18,149.6,3.37,68.27
Banana,2007,Kharif,Tamil Nadu,208135.38,17085833.34,1920.63,218.49,1.34,82.09
Rice,2007,Rabi,Telangana,337980.21,2230669.39,1560.5,104.61,0.41,6.6
Rice,2007,Summer,Telangana,343033.71,2342920.24,1367.28,206.56,0.34,6.83
Wheat,2007,Kharif,Telangana,126121.51,701235.6,1447.36,41.62,0.82,5.56
Wheat,2007,Whole Year,Telangana,288078.95,1627646.07,498.43,115.55,0.96,5.65
Maize,2007,Kharif,Telangana,406421.27,1820767.29,651.5,50.19,2.03,4.48
Maize,2007,Summer,Telangana,237591.68,1085793.98,654.03,30.17,3.68,4.57
Cotton(lint),2007,Kharif,Telangana,253958.23,1147891.2,1329.6,182.67,2.69,4.52
Cotton(lint),2007,Rabi,Telangana,60494.26,290977.39,1850.54,237.84,1.82,4.81
Sugarcane,2007,Summer,Telangana,333866.2,32618727.74,944.75,169.1,0.88,97.7
Sugarcane,2007,Whole Year,Telangana,191697.75,20549998.8,844.97,187.16,1.33,107.2
Soybean,2007,Whole Year,Telangana,251984.13,559404.77,426.16,47.0,2.68,2.22
Soybean,2007,Summer,Telangana,354674.96,1514462.08,1912.72,166.09,1.66,4.27
Groundnut,2007,Summer,Telangana,112400.11,477700.47,983.99,100.19,0.31,4.25
Groundnut,2007,Whole Year,Telangana,403835.67,1712263.24,1332.79,125.66,0.33,4.24
Rapeseed &Mustard,2007,Whole Year,Telangana,132487.76,419986.2,1119.28,209.01,2.35,3.17
Rapeseed &Mustard,2007,Rabi,Telangana,118990.65,533078.11,2118.35,156.75,4.22,4.48
Gram,2007,Whole Year,Telangana,421615.62,927554.36,696.15,79.05,1.33,2.2
Gram,2007,Rabi,Telangana,116000.06,226200.12,437.64,76.85,0.44,1.95
Arhar/Tur,2007,Summer,Telangana,207046.27,457572.26,1052.52,153.2,2.88,2.21
Arhar/Tur,2007,Kharif,Telangana,284149.86,841083.59,2115.83,143.61,3.28,2.96
Moong(Green Gram),2007,Whole Year,Telangana,385600.11,759632.22,2099.37,100.55,2.61,1.97
Moong(Green Gram),2007,Summer,Telangana,394513.94,599661.19,684.92,125.69,2.8,1.52
Potato,2007,Summer,Telangana,391160.03,15505583.59,1422.97,122.3,0.49,39.64
Potato,2007,Whole Year,Telangana,276736.19,10585159.27,1897.89,133.74,0.71,38.25
Onion,2007,Summer,Telangana,290768.75,8781216.25,850.15,205.68,2.4,30.2
Onion,2007,Rabi,Telangana,183843.23,5546550.25,1590.61,215.2,1.96,30.17
Tomato,2007,Whole Year,Telangana,258890.15,9824881.19,1124.09,108.68,0.99,37.95
Tomato,2007,Kharif,Telangana,134340.49,5765893.83,1479.47,193.06,3.42,42.92
Banana,2007,Rabi,Telangana,241217.1,15968572.02,1378.47,167.29,1.86,66.2
Banana,2007,Kharif,Telangana,24794.41,1642381.72,1223.01,145.42,4.02,66.24
Rice,2007,Whole Year,Uttar Pradesh,329477.03,2474372.5,1090.82,228.44,2.27,7.51
Rice,2007,Rabi,Uttar Pradesh,124218.63,710530.56,535.36,178.63,2.28,5.72
Wheat,2007,Whole Year,Uttar Pradesh,220959.26,1409720.08,863.85,215.83,2.68,6.38
Wheat,2007,Rabi,Uttar Pradesh,361508.32,2187125.34,479.46,238.34,0.76,6.05
Maize,2007,Rabi,Uttar Pradesh,39865.22,317327.15,1850.22,170.53,3.35,7.96
Maize,2007,Whole Year,Uttar Pradesh,274258.51,1689432.42,1784.16,123.82,2.23,6.16
Cotton(lint),2007,Summer,Uttar Pradesh,196591.88,910220.4,2149.51,37.89,1.56,4.63
Cotton(lint),2007,Whole Year,Uttar Pradesh,48057.26,158588.96,1531.38,49.96,0.61,3.3
Sugarcane,2007,Rabi,Uttar Pradesh,268726.98,31739343.61,1006.96,85.13,0.72,118.11
Sugarcane,2007,Summer,Uttar Pradesh,162022.88,17091793.61,1255.65,106.34,2.96,105.49
Soybean,2007,Rabi,Uttar Pradesh,65724.96,316794.31,2027.89,233.45,4.47,4.82
Soybean,2007,Summer,Uttar Pradesh,155905.75,417827.41,708.52,46.59,3.18,2.68
Groundnut,2007,Kharif,Uttar Pradesh,238649.17,1164607.95,1604.83,204.63,0.85,4.88
Groundnut,2007,Whole Year,Uttar Pradesh,211073.33,829518.19,1476.95,36.5,1.38,3.93
Rapeseed &Mustard,2007,Summer,Uttar Pradesh,421149.12,977065.96,821.21,47.72,1.31,2.32
Rapeseed &Mustard,2007,Whole Year,Uttar Pradesh,185158.65,440677.59,433.07,86.81,3.66,2.38
Gram,2007,Rabi,Uttar Pradesh,309887.7,703445.08,795.5,122.12,3.56,2.27
Gram,2007,Summer,Uttar Pradesh,356589.38,1301551.24,1909.52,167.5,1.18,3.65
Arhar/Tur,2007,Kharif,Uttar Pradesh,252154.99,811939.07,2130.01,161.75,1.32,3.22
Arhar/Tur,2007,Rabi,Uttar Pradesh,331078.75,619117.26,946.29,102.52,4.46,1.87
Moong(Green Gram),2007,Rabi,Uttar Pradesh,163994.62,378827.57,1761.77,84.05,3.18,2.31
Moong(Green Gram),2007,Summer,Uttar Pradesh,99946.4,208887.98,1618.73,192.17,2.23,2.09
Potato,2007,Kharif,Uttar Pradesh,325463.07,9099947.44,771.15,82.47,1.65,27.96
Potato,2007,Whole Year,Uttar Pradesh,335442.59,11441946.74,784.42,32.24,3.54,34.11
Onion,2007,Whole Year,Uttar Pradesh,159388.13,4419832.84,1555.98,81.58,0.67,27.73
Onion,2007,Kharif,Uttar Pradesh,122485.94,3737046.03,1939.2,102.76,4.38,30.51
Tomato,2007,Summer,Uttar Pradesh,423999.98,15942399.25,1998.15,51.48,3.4,37.6
Tomato,2007,Rabi,Uttar Pradesh,212488.05,9243230.17,1679.78,122.2,0.69,43.5
Banana,2007,Whole Year,Uttar Pradesh,293791.89,17865484.83,1792.84,105.26,0.99,60.81
Banana,2007,Rabi,Uttar Pradesh,387103.05,24344910.81,620.73,121.03,1.91,62.89
Rice,2007,Summer,West Bengal,7177.83,37683.61,1266.03,100.01,2.13,5.25
Rice,2007,Rabi,West Bengal,186973.66,1589276.11,1718.9,174.03,3.78,8.5
Wheat,2007,Kharif,West Bengal,328822.11,2709494.19,1359.18,225.52,4.29,8.24
Wheat,2007,Summer,West Bengal,332591.22,2324812.63,2007.34,124.07,2.48,6.99
Maize,2007,Kharif,West Bengal,23894.6,183271.58,1991.64,211.16,2.11,7.67
Maize,2007,Rabi,West Bengal,239770.81,1532135.48,2029.58,47.44,1.02,6.39
Cotton(lint),2007,Whole Year,West Bengal,111780.25,545487.62,1853.22,190.23,1.86,4.88
Cotton(lint),2007,Kharif,West Bengal,89264.38,416864.65,1527.99,173.8,0.74,4.67
Sugarcane,2007,Kharif,West Bengal,298681.49,28419543.77,1134.83,88.9,3.34,95.15
Sugarcane,2007,Whole Year,West Bengal,238660.33,23579640.6,921.98,162.07,0.71,98.8
Soybean,2007,Rabi,West Bengal,609.2,2132.2,628.48,226.06,3.93,3.5
Soybean,2007,Summer,West Bengal,274052.93,1055103.78,2147.63,108.46,3.13,3.85
Groundnut,2007,Whole Year,West Bengal,277268.86,1128484.26,1643.71,114.87,3.96,4.07
Groundnut,2007,Rabi,West Bengal,16775.16,71126.68,1392.05,178.82,0.69,4.24
Rapeseed &Mustard,2007,Rabi,West Bengal,164980.79,496592.18,834.88,171.16,1.05,3.01
Rapeseed &Mustard,2007,Kharif,West Bengal,391533.34,1288144.69,627.15,172.36,2.66,3.29
Gram,2007,Whole Year,West Bengal,189573.29,498577.75,1265.69,109.03,1.76,2.63
Gram,2007,Kharif,West Bengal,196578.38,499309.09,750.63,201.37,3.65,2.54
Arhar/Tur,2007,Rabi,West Bengal,296877.96,929228.01,2037.51,236.3,1.05,3.13
Arhar/Tur,2007,Kharif,West Bengal,1314.51,2721.04,802.87,101.49,4.46,2.07
Moong(Green Gram),2007,Rabi,West Bengal,421288.44,674061.5,1336.29,106.61,3.96,1.6
Moong(Green Gram),2007,Kharif,West Bengal,93673.49,144257.17,1080.03,96.5,3.11,1.54
Potato,2007,Whole Year,West Bengal,86484.48,3016578.66,1133.33,226.76,1.82,34.88
Potato,2007,Rabi,West Bengal,57601.59,1849587.05,505.37,94.14,0.88,32.11
Onion,2007,Kharif,West Bengal,416983.23,14365072.27,2016.62,183.64,1.78,34.45
Onion,2007,Rabi,West Bengal,440405.01,14110576.52,1707.89,225.03,3.66,32.04
Tomato,2007,Whole Year,West Bengal,404059.21,15734065.64,1029.81,145.78,1.75,38.94
Tomato,2007,Kharif,West Bengal,236550.81,7775425.12,765.39,124.89,3.63,32.87
Banana,2007,Whole Year,West Bengal,246835.66,18705206.31,1664.93,196.47,2.91,75.78
Banana,2007,Summer,West Bengal,304965.16,16007621.25,443.97,116.47,1.63,52.49
Rice,2008,Rabi,Andhra Pradesh,300678.9,1644713.58,473.07,112.06,3.6,5.47
Rice,2008,Whole Year,Andhra Pradesh,92305.26,669213.14,844.97,239.18,0.64,7.25
Wheat,2008,Rabi,Andhra Pradesh,147780.91,979787.43,778.32,134.51,2.25,6.63
Wheat,2008,Whole Year,Andhra Pradesh,272358.39,1737646.53,1264.23,201.29,0.47,6.38
Maize,2008,Summer,Andhra Pradesh,31805.82,159347.16,1460.08,139.34,3.39,5.01
Maize,2008,Kharif,Andhra Pradesh,179440.19,866696.12,447.6,100.47,4.4,4.83
Cotton(lint),2008,Rabi,Andhra Pradesh,364758.8,1623176.66,1834.33,56.79,4.08,4.45
Cotton(lint),2008,Kharif,Andhra Pradesh,201498.65,902713.95,1186.52,194.75,0.6,4.48
Sugarcane,2008,Summer,Andhra Pradesh,378727.17,45848711.2,1511.85,165.33,0.32,121.06
Sugarcane,2008,Rabi,Andhra Pradesh,116936.3,13648804.94,1675.62,75.12,0.37,116.72
Soybean,2008,Kharif,Andhra Pradesh,446922.77,1877075.63,1764.94,196.66,2.85,4.2
Soybean,2008,Summer,Andhra Pradesh,35858.6,95742.46,709.37,42.44,0.65,2.67
Groundnut,2008,Whole Year,Andhra Pradesh,93130.16,363207.62,1194.21,43.65,3.75,3.9
Groundnut,2008,Summer,Andhra Pradesh,335093.51,1903331.14,1515.0,198.65,2.06,5.68
Rapeseed &Mustard,2008,Whole Year,Andhra Pradesh,128425.81,306937.69,705.98,100.42,2.81,2.39
Rapeseed &Mustard,2008,Summer,Andhra Pradesh,56651.45,121800.62,448.02,32.61,3.98,2.15
Gram,2008,Kharif,Andhra Pradesh,15255.06,39205.5,1242.15,165.79,3.77,2.57
Gram,2008,Rabi,Andhra Pradesh,143106.22,370645.11,907.47,141.48,0.42,2.59
Arhar/Tur,2008,Summer,Andhra Pradesh,379564.68,774311.95,1051.19,32.17,2.89,2.04
Arhar/Tur,2008,Rabi,Andhra Pradesh,435554.13,1345862.26,1953.35,124.25,0.47,3.09
Moong(Green Gram),2008,Whole Year,Andhra Pradesh,273665.56,539121.15,1368.65,128.45,1.46,1.97
Moong(Green Gram),2008,Rabi,Andhra Pradesh,72691.11,106129.02,1013.23,98.04,2.72,1.46
Potato,2008,Whole Year,Andhra Pradesh,253289.08,10711595.19,1607.49,177.65,1.45,42.29
Potato,2008,Rabi,Andhra Pradesh,345134.0,14933948.18,2145.2,186.71,0.96,43.27
Onion,2008,Kharif,Andhra Pradesh,265583.2,9136062.08,1209.84,210.26,4.31,34.4
Onion,2008,Rabi,Andhra Pradesh,262708.14,7891752.53,1369.09,125.44,1.1,30.04
Tomato,2008,Rabi,Andhra Pradesh,30379.67,1053263.16,402.85,139.89,1.68,34.67
Tomato,2008,Whole Year,Andhra Pradesh,75111.26,3358224.43,1742.61,109.44,2.23,44.71
Banana,2008,Summer,Andhra Pradesh,188879.95,10418618.04,1809.97,86.35,3.2,55.16
Banana,2008,Kharif,Andhra Pradesh,86730.33,5860368.4,1000.87,182.82,3.08,67.57
Rice,2008,Whole Year,Assam,93473.28,610380.52,1577.24,117.41,0.97,6.53
Rice,2008,Kharif,Assam,386473.09,2388403.7,611.46,194.99,3.1,6.18
Wheat,2008,Rabi,Assam,328942.5,2641408.27,2052.42,221.49,3.38,8.03
Wheat,2008,Summer,Assam,92097.33,618894.06,1737.22,173.98,3.46,6.72
Maize,2008,Kharif,Assam,448024.09,2020588.65,854.79,121.72,2.44,4.51
Maize,2008,Whole Year,Assam,199898.07,967506.66,707.98,213.38,3.23,4.84
Cotton(lint),2008,Summer,Assam,351987.7,1041883.59,680.17,112.31,2.31,2.96
Cotton(lint),2008,Kharif,Assam,142767.55,326937.69,464.05,58.71,3.49,2.29
Sugarcane,2008,Whole Year,Assam,81957.51,7236848.13,1858.55,58.36,2.22,88.3
Sugarcane,2008,Summer,Assam,142589.15,13136738.39,1164.09,94.96,1.41,92.13
Soybean,2008,Summer,Assam,311038.65,1010875.61,1816.54,54.43,1.75,3.25
Soybean,2008,Kharif,Assam,385808.23,883500.85,487.11,61.19,1.98,2.29
Groundnut,2008,Summer,Assam,206063.82,966439.32,1923.15,124.99,2.02,4.69
Groundnut,2008,Whole Year,Assam,242068.91,689896.39,440.51,123.26,3.56,2.85
Rapeseed &Mustard,2008,Whole Year,Assam,435903.08,911037.44,570.83,111.9,1.95,2.09
Rapeseed &Mustard,2008,Rabi,Assam,79901.04,258080.36,913.65,230.73,3.36,3.23
Gram,2008,Summer,Assam,362015.39,926759.4,1586.48,113.59,2.41,2.56
Gram,2008,Rabi,Assam,174960.59,456647.14,572.24,222.06,0.59,2.61
Arhar/Tur,2008,Whole Year,Assam,75591.52,195782.04,2187.1,148.23,1.73,2.59
Arhar/Tur,2008,Summer,Assam,299036.67,708716.91,1154.9,232.74,3.14,2.37
Moong(Green Gram),2008,Rabi,Assam,244143.99,556648.3,2054.27,218.98,2.13,2.28
Moong(Green Gram),2008,Kharif,Assam,174800.07,223744.09,916.36,86.4,3.9,1.28
Potato,2008,Summer,Assam,148296.41,4576427.21,1586.79,91.73,1.13,30.86
Potato,2008,Whole Year,Assam,48109.1,1369666.08,433.56,198.97,0.79,28.47
Onion,2008,Whole Year,Assam,231128.21,7409970.41,1607.34,207.94,0.24,32.06
Onion,2008,Summer,Assam,333270.71,8808344.87,1377.11,141.23,1.7,26.43
Tomato,2008,Whole Year,Assam,1109.31,42198.15,1294.76,188.09,3.74,38.04
Tomato,2008,Summer,Assam,283970.97,9566981.98,543.14,132.49,0.87,33.69
Banana,2008,Rabi,Assam,410001.56,25957198.76,2187.69,52.28,1.2,63.31
Banana,2008,Whole Year,Assam,381863.77,17745209.39,436.72,156.94,1.39,46.47
Rice,2008,Summer,Bihar,194006.87,1094198.75,1241.03,80.42,4.05,5.64
Rice,2008,Kharif,Bihar,364602.99,2515760.63,1400.27,228.88,2.37,6.9
Wheat,2008,Kharif,Bihar,372307.59,1664214.93,1165.0,87.84,1.34,4.47
Wheat,2008,Rabi,Bihar,198334.29,1265372.77,564.05,180.91,1.12,6.38
Maize,2008,Kharif,Bihar,102886.36,506200.89,1450.94,108.01,2.13,4.92
Maize,2008,Rabi,Bihar,70510.35,456907.07,1984.76,121.08,1.97,6.48
Cotton(lint),2008,Whole Year,Bihar,419038.64,1659393.01,2129.84,32.75,0.94,3.96
Cotton(lint),2008,Rabi,Bihar,29092.24,96004.39,797.94,137.61,2.55,3.3
Sugarcane,2008,Rabi,Bihar,146813.75,12771328.11,658.64,179.09,2.5,86.99
Sugarcane,2008,Kharif,Bihar,272994.38,26496834.52,1006.46,152.95,1.56,97.06
Soybean,2008,Whole Year,Bihar,272987.91,690659.41,1342.77,35.14,3.6,2.53
Soybean,2008,Kharif,Bihar,157757.68,479583.35,1529.51,194.73,2.99,3.04
Groundnut,2008,Rabi,Bihar,334950.23,1158927.8,1305.79,44.24,3.31,3.46
Groundnut,2008,Summer,Bihar,299024.52,1450268.92,1167.87,216.72,3.83,4.85
Rapeseed &Mustard,2008,Summer,Bihar,397565.69,1069451.71,1292.29,95.78,3.44,2.69
Rapeseed &Mustard,2008,Rabi,Bihar,389644.39,1126072.29,1703.96,114.8,1.12,2.89
Gram,2008,Kharif,Bihar,191393.22,354077.46,675.33,199.34,2.39,1.85
Gram,2008,Summer,Bihar,54790.4,115059.84,1167.01,90.39,0.89,2.1
Arhar/Tur,2008,Summer,Bihar,24742.7,57155.64,1329.78,136.0,0.84,2.31
Arhar/Tur,2008,Kharif,Bihar,88818.95,142110.32,852.57,66.45,4.32,1.6
Moong(Green Gram),2008,Kharif,Bihar,173580.28,343688.95,1731.29,117.7,3.37,1.98
Moong(Green Gram),2008,Whole Year,Bihar,114316.76,182906.82,848.07,153.98,0.5,1.6
Potato,2008,Rabi,Bihar,179652.37,4119428.84,706.27,83.49,1.33,22.93
Potato,2008,Summer,Bihar,426505.9,15695417.12,627.47,234.48,1.19,36.8
Onion,2008,Kharif,Bihar,158384.1,3780628.47,1861.57,97.1,0.9,23.87
Onion,2008,Summer,Bihar,7740.64,137009.33,610.68,68.83,0.69,17.7
Tomato,2008,Summer,Bihar,26475.79,829486.5,653.18,180.49,2.08,31.33
Tomato,2008,Whole Year,Bihar,228293.13,7093067.55,627.78,130.09,3.48,31.07
Banana,2008,Kharif,Bihar,66535.55,4291542.98,1393.89,188.09,1.41,64.5
Banana,2008,Summer,Bihar,70326.81,3962212.48,1599.9,157.12,0.57,56.34
Rice,2008,Kharif,Gujarat,294752.23,1809778.69,1676.77,153.1,1.74,6.14
Rice,2008,Summer,Gujarat,38201.25,294531.64,2187.05,56.71,0.51,7.71
Wheat,2008,Kharif,Gujarat,187804.33,1156874.67,1093.76,142.19,3.82,6.16
Wheat,2008,Summer,Gujarat,295109.36,1832629.13,414.88,193.79,3.07,6.21
Maize,2008,Rabi,Gujarat,263109.04,1628644.96,2056.35,40.32,2.67,6.19
Maize,2008,Kharif,Gujarat,394393.41,2125780.48,434.28,183.82,4.21,5.39
Cotton(lint),2008,Summer,Gujarat,293849.72,981458.06,510.34,140.37,2.34,3.34
Cotton(lint),2008,Kharif,Gujarat,189322.5,711852.6,1494.32,52.0,2.15,3.76
Sugarcane,2008,Kharif,Gujarat,387523.47,44921720.64,1508.12,32.68,3.19,115.92
Sugarcane,2008,Whole Year,Gujarat,292261.73,27384924.1,1030.43,222.59,0.78,93.7
Soybean,2008,Whole Year,Gujarat,412604.56,1105780.22,1408.31,62.3,3.61,2.68
Soybean,2008,Kharif,Gujarat,3769.13,10666.64,509.64,120.06,1.92,2.83
Groundnut,2008,Kharif,Gujarat,79005.2,370534.39,1927.82,92.62,2.77,4.69
Groundnut,2008,Summer,Gujarat,424034.06,1844548.16,1349.01,98.26,0.88,4.35
Rapeseed &Mustard,2008,Kharif,Gujarat,340069.05,1282060.32,1492.1,161.62,2.94,3.77
Rapeseed &Mustard,2008,Whole Year,Gujarat,443893.1,2001957.88,1718.12,193.16,3.95,4.51
Gram,2008,Summer,Gujarat,65274.73,232378.04,2154.42,156.81,3.36,3.56
Gram,2008,Kharif,Gujarat,226272.55,638088.59,1698.68,31.24,2.75,2.82
Arhar/Tur,2008,Whole Year,Gujarat,441033.35,983504.37,1108.69,77.76,0.94,2.23
Arhar/Tur,2008,Rabi,Gujarat,289776.68,747623.83,558.41,217.64,1.87,2.58
Moong(Green Gram),2008,Kharif,Gujarat,175834.7,455411.87,1954.44,225.14,1.5,2.59
Moong(Green Gram),2008,Whole Year,Gujarat,418898.05,754016.49,842.35,151.16,1.38,1.8
Potato,2008,Whole Year,Gujarat,342968.33,12700117.26,1792.25,213.78,0.31,37.03
Potato,2008,Rabi,Gujarat,153726.92,5706343.27,1812.92,70.33,2.94,37.12
Onion,2008,Whole Year,Gujarat,250787.06,7390694.66,1590.74,154.3,3.37,29.47
Onion,2008,Kharif,Gujarat,52842.26,1515516.02,1473.65,87.75,0.54,28.68
Tomato,2008,Rabi,Gujarat,312383.5,14428993.86,1561.72,174.35,1.8,46.19
Tomato,2008,Summer,Gujarat,348254.5,13170985.19,1220.11,158.5,1.81,37.82
Banana,2008,Whole Year,Gujarat,424203.06,29617857.65,1872.37,153.42,1.28,69.82
Banana,2008,Kharif,Gujarat,214717.29,12326919.62,932.92,138.14,0.91,57.41
Rice,2008,Summer,Haryana,419408.89,3942443.57,2044.44,140.33,3.32,9.4
Rice,2008,Rabi,Haryana,153588.88,924605.06,942.09,151.43,2.34,6.02
Wheat,2008,Whole Year,Haryana,417412.85,3126422.25,1224.91,168.48,4.13,7.49
Wheat,2008,Rabi,Haryana,277759.19,1910983.23,1477.55,91.43,3.14,6.88
Maize,2008,Kharif,Haryana,218504.03,1201772.17,950.04,138.7,1.84,5.5
Maize,2008,Rabi,Haryana,448647.23,2736748.1,1166.0,103.13,3.25,6.1
Cotton(lint),2008,Whole Year,Haryana,10271.61,46633.11,1337.03,112.27,2.68,4.54
Cotton(lint),2008,Kharif,Haryana,443097.64,1763528.61,648.88,120.24,2.03,3.98
Sugarcane,2008,Rabi,Haryana,220677.71,25512550.05,1331.38,120.79,4.46,115.61
Sugarcane,2008,Summer,Haryana,50661.47,7129082.06,1911.58,239.41,1.46,140.72
Soybean,2008,Whole Year,Haryana,103145.85,311500.47,796.2,72.25,4.17,3.02
Soybean,2008,Summer,Haryana,177034.43,672730.83,1307.89,127.51,1.29,3.8
Groundnut,2008,Rabi,Haryana,59748.76,287391.54,1995.86,187.85,2.02,4.81
Groundnut,2008,Whole Year,Haryana,333480.55,1947526.41,1811.54,190.29,3.31,5.84
Rapeseed &Mustard,2008,Rabi,Haryana,335765.98,1463939.67,1830.43,187.03,2.1,4.36
Rapeseed &Mustard,2008,Summer,Haryana,384380.34,1445270.08,1844.43,38.69,1.83,3.76
Gram,2008,Summer,Haryana,219800.53,672589.62,1663.9,137.78,3.95,3.06
Gram,2008,Kharif,Haryana,421486.24,1171731.75,1080.75,151.05,3.61,2.78
Arhar/Tur,2008,Kharif,Haryana,85171.52,229111.39,1031.66,225.41,3.64,2.69
Arhar/Tur,2008,Rabi,Haryana,119891.45,280545.99,1667.84,198.58,1.23,2.34
Moong(Green Gram),2008,Rabi,Haryana,214306.94,610774.78,1485.05,237.06,4.23,2.85
Moong(Green Gram),2008,Summer,Haryana,402832.49,866089.85,1107.31,231.97,1.99,2.15
Potato,2008,Kharif,Haryana,422629.59,14386311.24,850.0,142.38,3.17,34.04
Potato,2008,Whole Year,Haryana,264235.82,11787559.93,1832.64,129.77,3.61,44.61
Onion,2008,Kharif,Haryana,182507.41,5761758.93,757.07,231.94,2.4,31.57
Onion,2008,Whole Year,Haryana,160131.73,5505328.88,1132.9,115.93,2.54,34.38
Tomato,2008,Whole Year,Haryana,285631.05,12447801.16,1872.97,164.58,1.53,43.58
Tomato,2008,Summer,Haryana,143555.62,6159971.65,832.13,146.95,0.67,42.91
Banana,2008,Kharif,Haryana,166168.83,13471307.05,2128.02,202.3,3.87,81.07
Banana,2008,Whole Year,Haryana,128889.16,8790240.71,887.64,209.64,0.34,68.2
Rice,2008,Rabi,Karnataka,270811.14,1735899.41,1382.89,153.97,4.22,6.41
Rice,2008,Whole Year,Karnataka,81946.91,535932.79,1609.5,126.49,4.46,6.54
Wheat,2008,Rabi,Karnataka,429287.4,3614599.91,1865.58,219.84,0.27,8.42
Wheat,2008,Summer,Karnataka,425560.54,3212982.08,1197.29,155.85,2.25,7.55
Maize,2008,Rabi,Karnataka,73304.25,528523.64,1661.47,224.63,1.81,7.21
Maize,2008,Whole Year,Karnataka,358385.58,1515971.0,406.78,162.59,2.77,4.23
Cotton(lint),2008,Whole Year,Karnataka,111509.97,458305.98,1821.79,163.25,2.49,4.11
Cotton(lint),2008,Kharif,Karnataka,370320.05,1355371.38,1212.53,135.3,2.44,3.66
Sugarcane,2008,Rabi,Karnataka,54593.03,5549927.43,577.37,189.07,1.16,101.66
Sugarcane,2008,Kharif,Karnataka,152720.15,13112552.08,627.66,117.04,0.26,85.86
Soybean,2008,Whole Year,Karnataka,316919.19,1080694.44,1286.54,222.13,2.3,3.41
Soybean,2008,Kharif,Karnataka,138790.96,383063.05,476.2,163.04,1.27,2.76
Groundnut,2008,Rabi,Karnataka,363332.79,1609564.26,1763.32,104.96,4.45,4.43
Groundnut,2008,Summer,Karnataka,347630.49,1320995.86,1182.38,99.47,0.97,3.8
