N,P,K,temperature,humidity,ph,rainfall,label
21,40,17,26.26,60.44,6.56,61.68,mothbeans
24,61,15,30.62,59.88,6.22,61.07,mothbeans
22,46,17,26.66,65.3,6.8,58.82,mothbeans
17,43,23,25.4,50.51,6.82,52.11,mothbeans
20,50,22,29.57,47.09,6.63,62.95,mothbeans
25,39,21,24.14,53.28,7.94,41.52,mothbeans
16,52,15,26.83,56.58,6.42,48.64,mothbeans
24,50,20,27.42,55.22,6.73,55.58,mothbeans
18,46,17,28.03,48.13,6.13,53.59,mothbeans
22,52,18,28.92,56.3,7.07,42.74,mothbeans
21,50,20,23.93,53.96,8.13,47.4,mothbeans
17,50,20,30.49,45.45,7.24,56.9,mothbeans
20,50,23,29.84,46.14,7.29,50.35,mothbeans
21,48,19,30.48,52.5,6.13,47.06,mothbeans
21,55,21,26.4,67.91,6.96,63.75,mothbeans
20,51,22,30.54,59.34,7.32,47.85,mothbeans
18,49,22,27.65,59.39,7.67,41.84,mothbeans
16,47,20,27.05,61.11,7.05,51.39,mothbeans
13,40,20,23.83,59.08,6.71,83.43,mothbeans
32,46,19,30.09,63.22,5.82,33.14,mothbeans
17,51,21,30.24,45.8,5.41,59.58,mothbeans
16,35,20,29.69,52.27,6.53,49.41,mothbeans
19,39,17,29.14,54.93,6.9,41.05,mothbeans
20,34,20,30.96,44.16,6.45,54.29,mothbeans
27,45,17,24.16,53.62,8.03,53.77,mothbeans
20,49,19,26.47,57.94,6.94,51.18,mothbeans
16,55,21,26.99,59.01,6.5,43.18,mothbeans
17,37,21,24.44,45.63,5.55,50.14,mothbeans
20,46,16,25.76,55.79,6.47,54.16,mothbeans
16,49,23,29.27,50.53,6.95,48.59,mothbeans
21,46,19,28.52,47.04,6.19,37.11,mothbeans
12,40,20,26.31,56.08,6.82,31.31,mothbeans
24,52,17,28.94,47.86,6.86,38.36,mothbeans
12,45,19,27.3,45.9,6.56,53.69,mothbeans
20,49,17,30.44,45.94,7.09,62.82,mothbeans
23,46,18,30.17,44.46,6.22,47.02,mothbeans
27,50,17,27.48,49.31,6.37,60.79,mothbeans
14,57,22,30.28,50.22,6.71,36.67,mothbeans
18,50,23,25.89,50.81,6.71,37.04,mothbeans
23,43,19,27.2,48.26,6.8,48.84,mothbeans
19,43,20,31.41,53.84,7.4,37.1,mothbeans
21,41,15,26.62,60.15,7.37,53.43,mothbeans
13,46,20,28.45,41.94,6.27,50.36,mothbeans
23,34,19,28.39,58.1,7.22,56.83,mothbeans
17,36,18,30.1,61.36,7.23,55.29,mothbeans
22,44,19,31.44,47.34,7.77,47.78,mothbeans
27,39,21,26.63,44.51,6.93,61.09,mothbeans
16,39,19,27.93,56.29,7.37,50.41,mothbeans
30,49,18,24.88,51.42,6.6,60.6,mothbeans
23,40,20,29.44,62.17,7.33,58.61,mothbeans
21,50,23,25.43,50.9,6.34,54.79,mothbeans
27,44,12,27.28,58.48,7.12,55.28,mothbeans
19,40,21,26.43,66.1,7.14,45.19,mothbeans
17,47,19,30.33,54.12,6.36,69.9,mothbeans
21,52,18,28.83,54.87,5.67,71.15,mothbeans
27,45,16,28.8,53.52,7.01,52.92,mothbeans
23,56,21,26.0,61.18,7.78,82.52,mothbeans
15,49,13,29.21,49.71,7.95,43.25,mothbeans
12,45,14,29.6,40.61,6.82,30.22,mothbeans
19,57,21,26.37,52.81,6.81,55.73,mothbeans
14,51,11,26.84,50.07,7.18,51.23,mothbeans
13,42,20,27.94,49.53,6.51,57.96,mothbeans
18,47,26,25.25,41.89,7.27,44.21,mothbeans
19,43,19,31.3,57.81,7.32,36.84,mothbeans
15,30,17,30.01,56.1,6.67,50.78,mothbeans
17,49,22,24.87,54.8,7.36,46.85,mothbeans
24,64,19,28.89,48.57,6.91,55.6,mothbeans
21,41,20,31.02,55.69,7.38,48.63,mothbeans
24,49,17,28.74,47.05,6.42,52.89,mothbeans
22,40,23,29.24,48.77,5.88,49.55,mothbeans
18,48,18,24.09,50.67,6.62,57.34,mothbeans
17,58,14,30.72,51.65,7.32,51.8,mothbeans
26,45,16,30.94,52.32,6.93,63.35,mothbeans
15,51,18,27.84,53.43,5.9,43.21,mothbeans
27,53,19,28.59,51.23,7.61,49.0,mothbeans
22,54,17,31.22,43.82,7.78,47.27,mothbeans
19,36,18,26.02,49.35,6.72,60.58,mothbeans
22,49,16,26.34,63.79,6.36,67.56,mothbeans
19,48,23,30.64,52.34,6.57,50.44,mothbeans
22,53,20,29.34,62.83,7.03,54.12,mothbeans
13,32,21,27.91,49.91,6.95,50.4,mothbeans
26,48,17,30.08,51.7,7.12,46.23,mothbeans
17,48,20,29.06,51.39,5.7,46.67,mothbeans
24,46,19,30.07,48.73,5.87,49.39,mothbeans
18,42,19,29.08,52.94,6.98,69.13,mothbeans
19,49,18,26.41,49.49,6.51,54.59,mothbeans
32,43,18,27.97,55.37,6.96,63.84,mothbeans
8,33,18,30.29,43.61,5.0,56.71,mothbeans
22,41,17,26.56,85.94,6.45,52.45,mungbean
6,42,16,27.99,83.35,7.02,33.63,mungbean
21,51,25,27.54,86.8,5.98,29.36,mungbean
25,47,23,25.75,87.58,7.45,51.86,mungbean
22,48,15,31.21,83.06,6.9,36.0,mungbean
15,56,18,31.41,85.19,5.96,55.64,mungbean
18,52,20,25.41,86.16,7.58,52.44,mungbean
20,54,20,28.92,81.13,6.79,56.78,mungbean
16,56,19,26.72,89.49,6.59,54.58,mungbean
19,47,21,29.08,77.52,6.25,55.94,mungbean
20,44,15,26.34,77.41,6.66,43.71,mungbean
16,47,21,32.69,79.45,7.16,56.28,mungbean
17,49,18,28.87,91.54,6.94,52.57,mungbean
18,39,19,30.91,79.39,6.28,49.51,mungbean
16,43,18,25.77,81.6,6.98,38.04,mungbean
13,44,22,28.11,83.64,6.72,34.53,mungbean
23,50,18,30.51,80.99,7.15,49.74,mungbean
19,47,19,30.94,81.19,6.39,56.79,mungbean
18,53,25,27.7,88.23,6.24,54.54,mungbean
21,50,18,25.18,87.51,5.87,45.96,mungbean
25,49,25,30.55,82.88,6.71,48.12,mungbean
13,42,18,24.43,85.69,6.6,35.12,mungbean
23,52,20,27.85,87.87,6.97,50.96,mungbean
16,49,23,27.31,93.89,6.49,48.76,mungbean
17,49,14,27.41,81.13,6.75,56.46,mungbean
24,33,26,29.09,82.39,6.76,49.91,mungbean
17,49,18,27.69,82.75,6.13,49.67,mungbean
23,51,22,29.15,83.37,7.04,37.64,mungbean
16,42,23,30.39,87.45,7.13,41.47,mungbean
22,47,22,28.27,83.96,6.92,55.51,mungbean
17,47,16,23.5,86.3,6.94,50.6,mungbean
11,45,13,31.24,81.16,7.2,56.07,mungbean
16,41,21,26.81,85.91,6.51,34.25,mungbean
9,49,18,27.39,88.28,7.17,46.32,mungbean
19,51,15,28.95,87.71,6.97,33.01,mungbean
17,42,20,29.46,91.49,6.5,44.52,mungbean
26,49,23,29.08,80.87,6.17,36.09,mungbean
24,55,25,30.19,90.15,6.47,39.25,mungbean
25,50,20,29.27,86.79,7.21,58.86,mungbean
23,53,21,27.58,88.53,6.14,56.93,mungbean
15,49,17,29.61,85.36,6.06,51.87,mungbean
18,53,20,29.29,81.67,6.46,44.83,mungbean
25,58,17,30.65,76.82,6.22,40.83,mungbean
14,38,21,28.07,87.02,6.98,50.62,mungbean
24,47,16,30.62,83.14,6.33,47.08,mungbean
16,45,21,29.2,81.91,6.5,57.09,mungbean
23,60,23,30.79,79.95,7.01,48.08,mungbean
18,49,22,29.5,81.99,7.0,43.4,mungbean
22,46,19,30.03,81.34,7.48,33.93,mungbean
18,50,21,28.3,85.27,6.86,46.65,mungbean
27,53,22,26.57,85.18,6.58,40.46,mungbean
22,44,21,26.36,92.38,6.34,50.25,mungbean
24,44,22,26.04,91.31,6.71,43.73,mungbean
19,52,18,27.0,84.61,6.23,63.06,mungbean
18,52,20,26.53,85.48,7.01,46.99,mungbean
26,54,22,27.58,81.18,6.45,50.07,mungbean
23,34,19,28.82,84.39,7.22,51.87,mungbean
27,46,22,31.77,90.75,6.26,46.47,mungbean
19,50,22,26.82,85.77,5.89,60.04,mungbean
18,48,19,30.79,74.15,6.69,47.65,mungbean
18,58,17,30.04,86.93,7.2,43.16,mungbean
17,54,21,25.41,83.34,6.85,55.2,mungbean
17,30,21,26.06,77.43,5.57,55.01,mungbean
21,46,24,29.77,91.97,6.14,48.22,mungbean
12,46,19,29.75,85.68,6.95,54.13,mungbean
31,46,17,28.99,82.29,7.29,46.23,mungbean
18,45,22,28.18,82.93,7.37,41.65,mungbean
21,51,15,29.46,81.28,7.03,40.8,mungbean
24,54,22,29.0,84.57,6.47,60.27,mungbean
17,41,21,26.91,81.7,6.12,44.64,mungbean
20,49,22,29.55,84.74,6.62,52.58,mungbean
27,48,18,26.51,79.72,6.97,53.12,mungbean
23,47,24,27.53,89.32,6.68,43.63,mungbean
23,50,21,28.66,85.35,7.66,57.97,mungbean
24,48,23,29.54,85.6,6.58,47.85,mungbean
5,49,18,31.69,85.58,6.22,48.1,mungbean
15,50,20,30.42,82.34,6.71,37.58,mungbean
24,51,21,28.5,87.16,7.34,46.22,mungbean
21,41,17,28.7,89.92,6.6,46.61,mungbean
18,44,20,25.51,90.62,6.43,54.28,mungbean
14,52,22,29.27,81.52,6.8,39.04,mungbean
19,54,22,28.53,81.6,6.96,48.66,mungbean
9,52,19,30.9,81.12,5.43,50.73,mungbean
22,37,17,34.01,84.28,6.99,43.29,mungbean
10,46,19,27.7,85.04,6.81,47.3,mungbean
14,50,14,24.4,88.46,6.9,48.04,mungbean
14,43,19,25.31,82.54,6.96,59.92,mungbean
18,52,14,29.82,82.28,6.82,46.52,mungbean
27,42,21,27.94,84.87,6.63,41.73,mungbean
20,47,20,28.67,88.69,7.07,40.1,mungbean
25,40,21,29.74,77.85,6.74,44.75,mungbean
17,56,18,26.89,85.8,6.97,47.37,mungbean
26,51,13,27.44,83.25,6.89,27.5,mungbean
33,51,20,30.86,94.87,7.05,56.09,mungbean
21,47,18,26.85,82.75,6.16,47.89,mungbean
12,49,19,28.79,83.41,7.93,59.38,mungbean
14,49,18,26.47,80.14,6.87,43.05,mungbean
25,53,24,26.8,87.4,6.95,44.71,mungbean
17,57,20,29.77,82.21,6.21,43.94,mungbean
20,41,19,25.12,81.02,6.97,53.33,mungbean
36,58,15,28.97,68.87,7.47,62.83,blackgram
30,69,16,28.6,72.95,7.43,69.38,blackgram
29,68,22,28.96,73.11,7.62,84.44,blackgram
42,71,23,31.02,61.99,6.92,70.19,blackgram
29,65,22,24.42,74.21,7.55,63.2,blackgram
44,67,22,32.36,56.6,7.33,65.74,blackgram
40,61,24,32.5,60.56,6.57,63.94,blackgram
43,68,22,31.87,70.82,7.23,53.91,blackgram
38,75,18,31.16,63.09,6.69,66.57,blackgram
42,61,18,27.55,71.72,6.98,82.33,blackgram
52,66,15,24.69,56.17,6.55,81.58,blackgram
40,70,12,26.91,70.32,7.21,66.33,blackgram
44,80,18,30.07,66.16,8.06,46.81,blackgram
45,66,20,28.26,64.71,7.38,98.93,blackgram
46,60,17,28.77,54.23,6.97,75.13,blackgram
29,75,20,28.06,64.15,7.74,75.14,blackgram
40,65,19,28.62,52.37,7.92,69.35,blackgram
43,66,16,29.44,55.4,8.01,55.45,blackgram
31,63,22,29.94,57.58,7.6,75.11,blackgram
44,72,26,35.36,60.88,7.75,71.63,blackgram
43,53,18,27.87,69.97,7.53,47.06,blackgram
39,75,18,31.72,67.11,7.24,65.09,blackgram
30,58,21,29.95,64.17,6.93,64.75,blackgram
48,64,14,31.76,63.77,7.11,83.88,blackgram
39,69,15,29.35,68.66,6.48,69.81,blackgram
40,67,22,30.74,73.87,6.7,69.16,blackgram
40,58,21,35.71,64.9,7.3,68.65,blackgram
34,52,16,26.42,75.22,7.05,64.34,blackgram
47,58,16,30.07,71.17,7.3,70.28,blackgram
40,70,19,27.33,65.28,6.67,68.61,blackgram
36,87,18,26.39,64.19,7.31,84.53,blackgram
35,54,21,26.45,62.38,7.0,67.1,blackgram
45,61,18,29.86,65.9,7.14,72.16,blackgram
46,70,20,25.94,65.3,7.29,75.09,blackgram
34,61,17,31.24,71.2,6.94,76.88,blackgram
40,66,18,31.77,66.95,8.01,59.28,blackgram
44,62,16,29.87,65.82,8.27,65.96,blackgram
30,69,12,29.67,65.1,7.42,77.54,blackgram
35,65,16,27.08,66.86,6.59,63.65,blackgram
32,71,24,26.65,53.88,7.05,67.96,blackgram
41,63,18,30.82,71.24,6.32,64.11,blackgram
41,59,24,28.31,64.75,7.32,61.89,blackgram
25,63,22,29.06,59.92,7.47,64.49,blackgram
35,68,21,35.85,69.96,7.56,62.74,blackgram
31,67,19,27.2,63.95,7.26,71.4,blackgram
44,69,17,28.62,57.81,7.81,67.93,blackgram
38,59,27,27.22,62.43,7.27,73.8,blackgram
47,81,20,27.26,63.46,7.22,88.48,blackgram
28,76,19,31.99,64.39,6.76,75.31,blackgram
45,74,18,28.4,55.65,7.43,72.04,blackgram
32,62,17,26.19,60.09,6.65,63.68,blackgram
34,53,25,33.03,60.33,7.21,71.97,blackgram
49,60,22,28.53,56.98,7.39,80.71,blackgram
60,57,21,28.88,69.7,6.51,55.17,blackgram
33,67,17,31.55,71.16,7.34,83.99,blackgram
43,57,23,28.39,70.46,7.73,72.37,blackgram
28,59,22,29.48,65.48,7.4,74.76,blackgram
42,65,18,32.04,68.32,7.0,78.62,blackgram
38,60,16,27.45,63.37,7.59,59.75,blackgram
41,61,18,26.12,63.68,7.02,73.2,blackgram
41,57,22,30.43,66.19,7.1,62.62,blackgram
41,70,13,28.55,63.47,7.2,79.73,blackgram
33,63,17,27.9,62.92,7.41,57.26,blackgram
43,53,17,29.08,75.05,6.99,45.79,blackgram
24,67,20,30.84,66.01,7.56,62.4,blackgram
47,53,16,25.38,63.35,7.08,68.94,blackgram
40,59,18,26.16,73.18,6.98,62.91,blackgram
52,57,15,27.16,64.59,7.27,75.2,blackgram
60,49,20,28.51,61.48,6.85,58.71,blackgram
53,73,19,33.28,55.92,6.57,46.02,blackgram
34,68,19,30.27,56.53,7.42,70.2,blackgram
45,51,19,26.93,62.62,7.31,68.71,blackgram
33,67,14,32.78,63.77,7.55,62.53,blackgram
35,60,21,28.13,68.87,6.95,48.04,blackgram
35,57,19,26.92,70.56,7.06,66.02,blackgram
45,74,18,27.97,54.36,6.83,61.63,blackgram
40,64,21,28.37,64.66,7.57,71.22,blackgram
39,62,17,27.77,61.75,7.4,65.58,blackgram
29,81,19,26.38,62.35,7.14,84.85,blackgram
31,74,23,28.33,63.33,6.69,65.77,blackgram
39,72,22,28.03,53.2,7.09,70.74,blackgram
41,64,19,33.69,67.29,6.95,62.8,blackgram
38,80,18,29.85,62.11,7.54,87.4,blackgram
43,67,19,23.94,69.47,7.15,72.08,blackgram
34,63,17,32.45,62.73,7.93,72.11,blackgram
29,65,17,24.41,74.6,7.38,73.13,blackgram
41,55,17,32.0,58.69,6.09,65.53,blackgram
38,68,21,31.49,66.55,7.58,52.61,blackgram
44,72,15,26.14,60.52,6.84,75.33,blackgram
35,60,17,32.7,65.08,7.03,66.7,blackgram
50,61,22,30.43,64.04,8.1,57.24,blackgram
37,57,21,34.12,75.02,7.59,65.82,blackgram
37,53,25,31.07,62.05,7.63,58.07,blackgram
43,65,20,29.74,56.29,7.13,78.29,blackgram
39,73,15,29.83,61.25,7.4,68.11,blackgram
45,75,21,30.58,59.01,7.1,62.47,blackgram
37,64,16,25.01,60.99,7.18,54.32,blackgram
40,82,22,34.01,67.35,7.57,60.56,blackgram
34,45,22,33.75,61.68,7.0,60.26,blackgram
43,75,13,30.92,63.34,7.15,72.39,blackgram
17,67,18,26.93,66.89,6.99,35.43,lentil
16,75,19,26.15,73.63,7.32,46.35,lentil
15,47,18,23.68,66.75,6.84,43.04,lentil
10,60,20,28.79,64.31,7.03,53.22,lentil
14,70,16,26.66,65.56,7.02,39.34,lentil
20,84,15,23.65,65.96,7.21,41.12,lentil
6,78,21,20.14,61.76,7.53,57.18,lentil
21,66,19,24.17,70.44,6.55,39.15,lentil
22,67,23,22.82,64.53,6.53,45.66,lentil
12,64,14,26.23,68.38,6.21,56.27,lentil
27,68,17,31.56,58.21,6.91,47.04,lentil
23,70,17,22.12,63.09,6.5,45.98,lentil
15,56,22,23.26,58.46,6.83,46.15,lentil
11,70,15,28.78,67.42,6.74,39.64,lentil
17,72,18,23.96,65.09,6.66,42.85,lentil
9,75,19,22.57,74.29,6.93,37.31,lentil
21,71,20,23.44,67.05,6.8,50.05,lentil
10,64,24,22.58,61.78,6.72,35.88,lentil
9,66,19,24.37,64.08,6.92,53.78,lentil
17,63,18,25.95,71.86,6.65,46.39,lentil
19,60,19,20.84,55.95,7.05,42.53,lentil
18,67,16,24.39,58.63,7.46,34.75,lentil
17,59,20,23.67,62.21,7.24,45.84,lentil
20,60,14,24.77,63.21,7.15,44.96,lentil
18,55,24,24.09,68.29,6.57,48.06,lentil
12,71,17,24.57,68.29,6.41,40.12,lentil
19,84,18,25.98,64.27,7.68,31.62,lentil
18,54,11,25.24,65.5,6.79,44.75,lentil
30,65,20,22.88,66.28,6.8,42.32,lentil
25,77,19,18.74,62.99,7.98,43.75,lentil
22,79,19,22.4,52.62,7.17,39.08,lentil
18,58,18,24.58,66.14,6.45,55.18,lentil
15,54,18,24.59,65.6,7.44,43.71,lentil
17,59,21,24.96,62.7,6.14,57.16,lentil
13,63,20,21.51,57.33,6.05,51.37,lentil
15,91,16,22.2,61.97,7.0,41.84,lentil
20,60,14,20.0,53.68,6.69,43.19,lentil
15,77,22,23.66,55.83,6.67,40.8,lentil
15,62,17,23.53,61.62,6.98,48.48,lentil
14,78,16,20.46,66.7,6.57,48.17,lentil
8,79,21,20.75,57.41,7.57,39.7,lentil
14,49,17,23.93,68.38,6.34,33.44,lentil
19,76,14,27.2,64.99,7.34,45.04,lentil
7,66,22,22.27,62.86,6.83,22.4,lentil
24,60,20,24.28,71.09,7.06,43.72,lentil
14,74,13,26.11,59.3,7.4,46.89,lentil
20,68,13,22.35,68.16,6.97,55.05,lentil
19,60,16,24.76,53.23,7.57,49.13,lentil
22,55,22,30.08,58.2,7.21,45.61,lentil
11,71,21,23.0,70.63,6.23,33.64,lentil
18,68,16,26.52,67.45,7.24,44.61,lentil
20,64,25,22.47,75.33,6.91,34.6,lentil
23,69,21,27.56,66.49,6.66,53.41,lentil
18,73,12,25.62,61.61,7.56,50.58,lentil
18,71,16,28.56,74.76,7.06,58.32,lentil
15,61,19,25.59,62.83,7.12,48.05,lentil
14,72,21,24.93,70.56,6.41,49.34,lentil
13,59,17,22.14,62.06,6.81,52.3,lentil
16,55,22,22.41,64.51,7.08,47.2,lentil
22,71,16,29.95,65.77,6.84,53.31,lentil
18,71,26,23.81,63.21,6.95,54.17,lentil
11,52,17,20.42,62.68,7.1,38.47,lentil
12,68,21,20.26,68.9,7.23,53.23,lentil
22,85,17,24.77,62.72,6.9,57.86,lentil
12,61,23,27.05,62.98,7.24,48.33,lentil
24,68,22,31.11,67.79,6.92,51.38,lentil
16,87,19,23.82,60.62,7.34,52.54,lentil
16,72,14,24.96,67.06,7.58,39.43,lentil
12,60,14,27.84,72.54,7.03,55.37,lentil
18,67,18,23.72,57.06,7.01,45.28,lentil
20,68,18,22.32,65.16,7.2,36.45,lentil
18,69,16,23.03,65.95,6.45,48.4,lentil
14,76,26,22.35,67.47,6.61,53.93,lentil
12,71,16,23.98,59.64,7.23,38.9,lentil
20,65,18,24.87,60.99,6.98,57.84,lentil
14,77,23,22.46,57.52,7.02,41.22,lentil
25,68,16,21.63,70.25,6.67,45.95,lentil
21,64,18,24.46,68.22,7.14,43.84,lentil
18,65,14,25.14,74.26,6.55,39.42,lentil
14,73,20,24.1,60.21,6.94,33.08,lentil
18,74,15,20.67,72.7,6.66,54.69,lentil
17,66,20,22.29,65.46,6.75,35.04,lentil
19,65,18,21.47,72.76,7.25,53.31,lentil
16,54,24,24.35,61.06,7.07,54.94,lentil
17,78,22,21.81,61.43,7.28,23.9,lentil
17,56,17,23.75,63.01,6.68,36.82,lentil
27,82,15,28.46,62.8,6.95,45.09,lentil
15,75,19,23.31,58.28,6.54,32.47,lentil
18,58,18,27.93,70.8,6.89,44.9,lentil
25,72,18,20.93,66.77,7.23,40.55,lentil
19,65,18,18.28,63.69,7.29,40.55,lentil
18,61,20,23.96,60.1,7.43,53.03,lentil
15,71,20,26.11,56.33,7.3,41.04,lentil
16,89,19,23.53,53.77,7.46,34.84,lentil
13,65,23,26.43,64.01,7.02,40.8,lentil
18,68,21,26.92,67.27,6.76,51.53,lentil
17,59,17,24.71,69.35,6.83,35.93,lentil
18,68,19,26.8,69.89,6.66,40.67,lentil
13,73,23,23.71,63.59,7.49,49.64,lentil
19,58,21,22.18,59.13,6.76,40.91,lentil
16,12,44,24.96,84.26,6.89,95.34,pomegranate
22,17,40,21.28,93.74,5.78,116.62,pomegranate
23,20,51,20.32,92.97,6.35,126.0,pomegranate
17,16,46,20.42,85.86,6.14,116.79,pomegranate
24,18,46,18.0,88.77,6.26,105.78,pomegranate
18,20,37,22.19,89.96,5.94,105.79,pomegranate
17,17,40,22.01,88.8,7.04,89.96,pomegranate
14,29,34,18.01,92.3,5.36,103.97,pomegranate
28,11,30,17.6,92.8,6.96,99.81,pomegranate
21,23,48,21.11,83.2,5.99,101.1,pomegranate
16,17,45,25.37,89.58,6.95,112.86,pomegranate
18,21,40,27.56,85.78,6.14,105.6,pomegranate
20,23,39,17.82,92.63,6.78,78.37,pomegranate
17,11,36,19.27,92.53,6.46,88.22,pomegranate
22,12,41,19.52,89.0,6.65,115.32,pomegranate
24,17,41,20.57,90.65,6.62,106.03,pomegranate
8,19,41,19.9,86.25,7.14,114.87,pomegranate
16,13,35,25.45,90.51,6.12,115.15,pomegranate
13,24,46,20.49,88.21,5.09,85.28,pomegranate
11,18,38,18.03,89.26,6.65,115.42,pomegranate
8,17,33,24.32,92.45,5.95,96.01,pomegranate
15,8,41,21.04,93.01,5.85,98.21,pomegranate
10,13,34,24.59,88.01,6.46,101.79,pomegranate
11,17,42,18.42,92.53,5.98,100.26,pomegranate
20,15,40,20.92,90.49,5.21,80.05,pomegranate
21,22,35,21.12,90.98,6.75,77.08,pomegranate
13,16,43,28.8,89.42,5.7,113.53,pomegranate
24,18,35,24.48,92.09,5.89,113.22,pomegranate
22,22,39,20.8,93.78,5.79,114.08,pomegranate
11,22,38,25.35,91.57,5.79,128.87,pomegranate
25,21,36,20.94,90.54,6.05,132.89,pomegranate
18,7,41,20.83,89.88,6.22,119.61,pomegranate
23,19,38,21.68,90.16,6.0,116.18,pomegranate
20,24,46,19.88,92.56,5.92,117.94,pomegranate
15,13,41,14.31,84.85,6.31,108.74,pomegranate
16,11,35,22.9,91.85,6.39,124.85,pomegranate
19,15,38,17.87,89.78,6.96,117.78,pomegranate
25,16,46,21.26,94.51,6.39,118.11,pomegranate
25,17,41,25.41,89.7,5.74,139.65,pomegranate
15,18,45,20.1,87.08,6.53,80.6,pomegranate
16,18,38,17.48,94.88,6.45,128.97,pomegranate
16,14,41,21.2,86.57,7.13,98.17,pomegranate
8,23,37,20.1,84.8,7.27,88.16,pomegranate
18,21,42,21.63,85.0,6.0,110.32,pomegranate
14,18,43,24.5,86.42,7.5,119.01,pomegranate
17,22,51,17.77,89.42,5.21,110.39,pomegranate
19,17,36,16.06,91.22,7.13,98.63,pomegranate
20,11,42,20.7,87.81,6.02,101.6,pomegranate
19,12,38,21.68,86.8,7.3,94.7,pomegranate
14,14,48,23.35,87.29,6.95,110.51,pomegranate
19,16,36,22.75,88.46,7.31,88.46,pomegranate
25,17,41,24.13,88.21,6.83,66.89,pomegranate
14,14,33,21.2,91.26,6.75,111.11,pomegranate
14,19,40,24.42,92.43,6.42,94.04,pomegranate
14,15,38,22.55,92.25,6.37,107.74,pomegranate
18,15,35,16.88,88.01,6.64,96.96,pomegranate
16,19,42,18.78,93.09,6.96,90.55,pomegranate
13,22,39,15.58,85.9,6.28,90.05,pomegranate
15,18,47,20.99,93.32,7.11,129.01,pomegranate
19,10,42,24.74,89.86,7.27,120.4,pomegranate
20,22,41,14.82,88.6,7.0,95.39,pomegranate
16,13,48,26.51,87.45,6.47,97.29,pomegranate
21,20,44,22.73,98.91,5.89,81.84,pomegranate
16,11,32,19.0,87.33,5.92,115.27,pomegranate
15,17,44,19.65,89.31,6.58,78.38,pomegranate
6,19,42,27.58,90.57,6.81,104.57,pomegranate
19,24,29,22.96,96.51,6.54,132.26,pomegranate
14,17,40,15.59,86.6,5.85,119.83,pomegranate
22,19,44,21.34,93.71,6.4,108.37,pomegranate
16,20,37,24.53,86.7,5.85,117.81,pomegranate
17,16,44,20.1,89.5,7.1,130.59,pomegranate
25,16,46,19.14,87.38,5.22,132.59,pomegranate
13,17,35,23.75,88.97,5.75,114.12,pomegranate
10,14,29,17.81,90.64,5.42,85.28,pomegranate
17,15,49,26.93,87.5,6.68,118.74,pomegranate
15,12,39,21.32,88.79,6.62,96.24,pomegranate
12,18,41,18.51,92.88,5.51,98.83,pomegranate
16,15,37,27.04,87.55,7.62,114.06,pomegranate
18,19,52,19.02,86.74,6.02,107.98,pomegranate
9,18,48,22.22,89.22,6.09,120.98,pomegranate
13,25,49,22.52,90.07,6.92,123.92,pomegranate
13,15,33,22.95,92.1,5.73,100.67,pomegranate
11,14,42,19.75,89.2,5.59,110.3,pomegranate
17,15,39,22.3,87.66,5.66,134.58,pomegranate
14,17,45,31.68,86.37,6.62,96.89,pomegranate
15,15,34,21.68,85.68,6.87,108.33,pomegranate
20,16,38,22.61,86.61,6.22,94.61,pomegranate
13,9,46,19.88,93.59,6.93,88.21,pomegranate
12,28,48,21.71,90.87,6.08,113.99,pomegranate
14,9,33,21.86,86.71,6.37,91.38,pomegranate
14,21,41,21.77,92.74,6.64,129.2,pomegranate
15,16,33,20.6,92.99,7.05,121.9,pomegranate
9,22,30,24.31,89.0,6.75,87.51,pomegranate
23,12,36,19.01,84.84,6.45,134.59,pomegranate
31,18,45,22.45,91.6,6.23,110.43,pomegranate
20,15,39,21.64,92.58,5.87,106.73,pomegranate
27,22,46,21.87,91.06,6.9,130.9,pomegranate
8,12,46,21.02,88.08,5.77,99.17,pomegranate
10,26,39,21.64,91.86,6.88,121.69,pomegranate
23,15,38,23.95,88.52,6.4,113.48,pomegranate
109,67,54,26.88,83.13,6.31,123.79,banana
116,92,58,27.82,80.43,6.35,113.28,banana
96,85,49,25.76,85.46,6.02,129.08,banana
80,77,50,29.35,81.9,6.12,90.97,banana
86,84,41,26.34,82.3,5.61,123.76,banana
114,69,44,23.19,77.17,6.31,99.53,banana
105,69,54,26.3,80.35,5.96,89.24,banana
86,89,52,29.19,81.6,6.06,83.79,banana
96,81,61,28.54,86.44,6.24,95.96,banana
101,83,44,26.61,79.48,6.64,79.53,banana
114,74,41,29.42,83.23,6.5,114.11,banana
124,86,49,27.92,85.27,5.69,96.68,banana
96,65,50,23.9,80.51,6.35,98.78,banana
120,70,57,28.52,73.44,7.08,103.74,banana
89,70,48,27.07,80.71,5.88,112.1,banana
95,66,49,23.04,81.72,5.61,106.46,banana
115,74,56,26.52,87.31,5.85,94.41,banana
108,78,44,26.44,80.12,6.54,81.29,banana
100,86,51,29.66,80.0,5.93,111.61,banana
101,78,53,26.13,77.86,5.79,120.74,banana
61,85,50,24.27,81.54,6.19,111.58,banana
68,92,45,28.54,83.26,5.65,112.43,banana
95,65,57,25.9,76.88,5.84,107.77,banana
99,86,41,25.96,79.84,6.76,103.13,banana
113,82,47,26.86,79.63,6.24,121.0,banana
104,91,44,26.55,77.4,6.13,100.19,banana
108,74,50,28.54,72.04,6.85,101.1,banana
75,83,50,27.15,84.26,6.3,108.07,banana
